Heureux Cyclage;Atelier;Adresse;Code postal;Ville;Pays;Latitude;Longitude
Oui;atelier vélo de Senlis;gymnase du complexe sportif Yves Carlier;60300;SENLIS;France;49.20929899847933;2.5779247283935547
Oui;atelier vélo de Lamorlaye;anciens locaux de la police municipale, 22 rue du Général Leclerc;60260;LAMORLAYE;France;49.15521794461679;2.439951896667481
Oui;"Roule &amp; co";21 avenue des Harmonies - Cran Gevrier;74960;ANNECY;France;45.90763;6.10496
Oui;Bretz'Selle;10 rue des Bouchers;67000;STRASBOURG;France;48.5786;7.75106
Oui;VéloBouloDodo;30, rue Étienne Dolet;63000;CLERMONT-FERRAND;France;45.76432340535582;3.08616042137146
Oui;L'atelier vélo autogéré du chat perché;29 rue Salomon Reinach;69007;LYON;France;45.75145534269404;4.841489195823669
Oui;Kazacycle;19, avenue Duchesne;26100;ROMANS-SUR-ISÈRE;France;45.04686716930805;5.043765306472778
Oui;Atelier Le Dérailleur;38 rue d'Arcole ;42000;SAINT-ÉTIENNE ;France;45.44007935983789;4.381310641765595
Oui;Maison du Vélo;1 rue Michel Servet;26000;VALENCE;France;44.926447;4.8915797
Oui;La rustine;5 rue du Havre;21000;DIJON;France;47.33057364597985;5.037097334861755
Oui;Maison du Vélo;54 quai Hamelin;14000;CAEN;France;49.17921720409475;-0.3479254245758056
Oui;Maison d'la Bécane;713 boulevard Grande Delle ;14200;HÉROUVILLE-SAINT-CLAIR;France;49.207009823836714;-0.33640265464782715
Oui;Velisol’ délocalisé - centre socio-culturel du Chemin Vert;17 rue Pierre Corneille;1400;CAEN;France;49.193063201511386;-0.3907227516174317
Oui;Velisol’ délocalisé - centre socio-culturel Pierre-Heuzé;49 boulevard du Général Vanier;14000;CAEN;France;49.19736802961755;-0.34936308860778814
Oui;Atelier d'autoréparation La Bricolade;16 Impasse Robert Nadaud;37000;TOURS;France;47.38076056048763;0.7093209028244019
Oui;Atelier Vélo Txirrind’ola;56, Allées Marines;64100;BAYONNE;France;43.499336035795295;-1.489473581314087
Oui;Beauvélo;78 Avenue de la République;60000;BEAUVAIS;France;49.427051868708894;2.088512778282165
Oui;A’Cro du Vélo;7, rue Einstein;67200;STRASBOURG;France;48.60413784276183;7.713609337806701
